OTU,Cluster,IndVal,Prob,Domain,Phylum,Class,Order,Family,Genus
Otu00152,1,0.99062047,0.001,Bacteria,Proteobacteria,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified
Otu00049,1,0.990031224,0.001,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillales_unclassified,Rhodospirillales_unclassified
Otu00007,1,0.983143519,0.001,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Polynucleobacter
Otu00105,1,0.979680486,0.001,Bacteria,Verrucomicrobia,Spartobacteria,Spartobacteria_order_incertae_sedis,Spartobacteria_family_incertae_sedis,Spartobacteria_genera_incertae_sedis
Otu00129,1,0.954122013,0.001,Bacteria,Bacteroidetes,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified
Otu00204,1,0.952454811,0.001,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
Otu00201,1,0.947332037,0.001,Bacteria,Verrucomicrobia,Subdivision3,Subdivision3_order_incertae_sedis,Subdivision3_family_incertae_sedis,3_genus_incertae_sedis
Otu00017,1,0.940061524,0.001,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Sediminibacterium
Otu00033,1,0.929102829,0.001,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiales_unclassified,Verrucomicrobiales_unclassified
Otu00030,1,0.919215465,0.001,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonadaceae_unclassified
Otu00159,1,0.913315784,0.001,Bacteria,Bacteroidetes,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified
Otu00051,1,0.905162533,0.001,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas
Otu00144,1,0.905080513,0.001,Bacteria,Acidobacteria,Acidobacteria_Gp3,Acidobacteria_Gp3_unclassified,Acidobacteria_Gp3_unclassified,Acidobacteria_Gp3_unclassified
Otu00224,1,0.903712527,0.001,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonadaceae_unclassified
Otu00229,1,0.898863599,0.001,Bacteria,Proteobacteria,Betaproteobacteria,Methylophilales,Methylophilaceae,Methylobacillus
Otu00042,1,0.895898637,0.001,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales_unclassified,Rhizobiales_unclassified
Otu00002,1,0.895387203,0.001,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonadaceae_unclassified
Otu00054,1,0.884701133,0.001,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Prosthecobacter
Otu00111,1,0.883258009,0.001,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas
Otu00020,1,0.868201652,0.001,Bacteria,Bacteroidetes,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified
Otu00084,1,0.866618215,0.001,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Prosthecobacter
Otu00189,1,0.865313794,0.001,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Cyclobacteriaceae,Cyclobacteriaceae_unclassified
Otu00061,1,0.865047705,0.001,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Verrucomicrobiaceae_unclassified
Otu00233,1,0.862923835,0.001,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Chitinophagaceae_unclassified
Otu00082,1,0.861652352,0.001,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax
Otu00060,1,0.861428892,0.001,Bacteria,Bacteroidetes,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified
Otu00134,1,0.852320056,0.019,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sandarakinorhabdus
Otu00170,1,0.836858284,0.001,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Cyclobacteriaceae,Algoriphagus
Otu00177,1,0.827520615,0.001,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiales_unclassified,Burkholderiales_unclassified
Otu00091,1,0.823178466,0.001,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Sphingobacteriales_unclassified,Sphingobacteriales_unclassified
Otu00131,1,0.822429789,0.001,Bacteria,Bacteroidetes,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified
Otu00013,1,0.803555187,0.001,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Oxalobacteraceae_unclassified
Otu00132,1,0.800773007,0.001,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetales_unclassified,Actinomycetales_unclassified
Otu00309,1,0.780381415,0.001,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Chitinophagaceae_unclassified
Otu00052,1,0.773220735,0.001,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Luteolibacter
Otu00167,1,0.768993407,0.001,Bacteria,Bacteroidetes,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified
Otu00043,1,0.75327655,0.001,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae_unclassified
Otu00107,1,0.736623661,0.001,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Azospirillum
Otu00262,1,0.729797918,0.001,Bacteria,Bacteroidetes,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified
Otu00104,1,0.711011074,0.001,Bacteria,Proteobacteria,Betaproteobacteria,Betaproteobacteria_unclassified,Betaproteobacteria_unclassified,Betaproteobacteria_unclassified
Otu00126,1,0.695358076,0.001,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Chitinophagaceae_unclassified
Otu00192,1,0.694371774,0.001,Bacteria,Bacteroidetes,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified
Otu00255,1,0.692489347,0.001,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
Otu00069,1,0.682662886,0.001,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetales_unclassified,Actinomycetales_unclassified
Otu00089,1,0.680053369,0.001,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiales_unclassified,Burkholderiales_unclassified
Otu00036,1,0.674893328,0.001,Bacteria,Verrucomicrobia,Opitutae,Puniceicoccales,Puniceicoccaceae,Cerasicoccus
